date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2017-01-03 22:00:00,0.96728,0.96865,0.97201,0.96428,0.96978,0.96987,0.97231,0.96625,192629
2017-01-04 22:00:00,0.96865,0.96849,0.9756,0.96599,0.96987,0.969,0.97587,0.96634,235793
2017-01-05 22:00:00,0.96849,0.96969,0.97263,0.96704,0.969,0.9711,0.97292,0.96735,315848
2017-01-06 22:00:00,0.96969,0.96527,0.97385,0.96439,0.9711,0.96751,0.97415,0.96465,220616
2017-01-08 22:00:00,0.96527,0.96567,0.96671,0.96528,0.96751,0.96766,0.9683,0.96684,369
2017-01-09 22:00:00,0.96567,0.97184,0.97406,0.96533,0.96766,0.97232,0.97436,0.966,196633
2017-01-10 22:00:00,0.97184,0.97469,0.97554,0.97059,0.97232,0.9755,0.97581,0.9709,224295
2017-01-11 22:00:00,0.97469,0.98044,0.98164,0.97389,0.9755,0.9809,0.98198,0.97425,339135
2017-01-12 22:00:00,0.98044,0.98344,0.98638,0.97762,0.9809,0.98395,0.9867,0.97792,268885
2017-01-13 22:00:00,0.98344,0.98295,0.98616,0.97994,0.98395,0.98457,0.98645,0.98019,214831
2017-01-15 22:00:00,0.98295,0.98242,0.98434,0.98158,0.98457,0.98325,0.98529,0.98272,620
2017-01-16 22:00:00,0.98242,0.98479,0.98587,0.9802,0.98325,0.9855,0.98645,0.98051,152441
2017-01-17 22:00:00,0.98479,0.98669,0.98768,0.98269,0.9855,0.9871,0.98812,0.98298,311488
2017-01-18 22:00:00,0.98669,0.99564,0.99811,0.98501,0.9871,0.99612,0.9984,0.98531,236159
2017-01-19 22:00:00,0.99564,1.00654,1.00701,0.99375,0.99612,1.00745,1.00765,0.99407,296149
2017-01-20 22:00:00,1.00654,1.00571,1.00902,1.00335,1.00745,1.00739,1.00934,1.00365,276821
2017-01-22 22:00:00,1.00571,1.00619,1.00752,1.00594,1.00739,1.00744,1.00866,1.00719,186
2017-01-23 22:00:00,1.00619,1.00354,1.01007,1.00259,1.00744,1.00425,1.01038,1.00288,235573
2017-01-24 22:00:00,1.00354,0.99684,1.00694,0.99539,1.00425,0.99805,1.0072,0.99568,204905
2017-01-25 22:00:00,0.99684,0.98924,0.99911,0.98667,0.99805,0.99,0.99944,0.98695,229637
2017-01-26 22:00:00,0.98924,0.98594,0.99046,0.98547,0.99,0.98669,0.991,0.98575,227966
