date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2017-07-02 21:00:00,1.04765,1.04702,1.0497,1.0465,1.04862,1.04985,1.05158,1.04858,125
2017-07-03 21:00:00,1.04702,1.04982,1.05139,1.04578,1.04985,1.0501,1.05172,1.04614,143193
2017-07-04 21:00:00,1.04982,1.04249,1.05504,1.04151,1.0501,1.04376,1.05585,1.04203,121302
2017-07-05 21:00:00,1.04249,1.04281,1.04774,1.04202,1.04376,1.04322,1.04803,1.04263,156358
2017-07-06 21:00:00,1.04281,1.0422,1.04705,1.04194,1.04322,1.04262,1.04733,1.04225,162751
2017-07-07 21:00:00,1.0422,1.04423,1.0462,1.03953,1.04262,1.04506,1.04646,1.03985,171886
2017-07-09 21:00:00,1.04423,1.04352,1.04352,1.04348,1.04506,1.04552,1.04556,1.04552,2
2017-07-10 21:00:00,1.04352,1.04532,1.04671,1.04292,1.04552,1.04577,1.047,1.04341,113083
2017-07-11 21:00:00,1.04532,1.05691,1.05739,1.04429,1.04577,1.05719,1.0577,1.04516,159120
2017-07-12 21:00:00,1.05691,1.05734,1.05949,1.05531,1.05719,1.05784,1.0598,1.05563,162474
2017-07-13 21:00:00,1.05734,1.05567,1.05937,1.04926,1.05784,1.05611,1.05965,1.04959,172416
2017-07-14 21:00:00,1.05567,1.06488,1.06659,1.05494,1.05611,1.06569,1.06685,1.05577,174227
2017-07-16 21:00:00,1.06488,1.06492,1.06578,1.064,1.06569,1.06643,1.06724,1.06548,269
2017-07-17 21:00:00,1.06492,1.06526,1.06758,1.06304,1.06643,1.06569,1.06783,1.06334,194014
2017-07-18 21:00:00,1.06526,1.07685,1.0799,1.06351,1.06569,1.07731,1.08018,1.0644,259110
2017-07-19 21:00:00,1.07685,1.08105,1.08155,1.07445,1.07731,1.08142,1.08182,1.07473,189029
2017-07-20 21:00:00,1.08105,1.07522,1.08446,1.07329,1.08142,1.07552,1.08479,1.07361,244758
2017-07-21 21:00:00,1.07522,1.06105,1.07537,1.06082,1.07552,1.06195,1.07624,1.0613,210503
2017-07-24 21:00:00,1.06105,1.06519,1.07028,1.06078,1.06195,1.06553,1.07054,1.06131,198996
2017-07-25 21:00:00,1.06519,1.06997,1.07128,1.06442,1.06553,1.07041,1.07157,1.06478,193039
2017-07-26 21:00:00,1.06997,1.06426,1.0701,1.06233,1.07041,1.0647,1.07066,1.06263,271405
2017-07-27 21:00:00,1.06426,1.06409,1.06804,1.06211,1.0647,1.06449,1.06835,1.06247,233629
2017-07-28 21:00:00,1.06409,1.06201,1.06685,1.06141,1.06449,1.06284,1.06709,1.06177,183331
2017-07-31 21:00:00,1.06201,1.06476,1.06612,1.05898,1.06284,1.06512,1.06638,1.05925,141570
2017-08-01 21:00:00,1.06476,1.06678,1.06978,1.0646,1.06512,1.0671,1.07008,1.06508,172080
2017-08-02 21:00:00,1.06678,1.07211,1.07329,1.06488,1.0671,1.07246,1.07349,1.06569,161124
2017-08-03 21:00:00,1.07211,1.06882,1.07462,1.06741,1.07246,1.06922,1.07489,1.06774,159520
2017-08-04 21:00:00,1.06882,1.06908,1.07274,1.0668,1.06922,1.0698,1.07303,1.06709,168089
2017-08-06 21:00:00,1.06908,1.0694,1.06952,1.06856,1.0698,1.07061,1.07084,1.0702,23
2017-08-07 21:00:00,1.0694,1.07462,1.07565,1.06921,1.07061,1.07494,1.07594,1.06979,120311
2017-08-08 21:00:00,1.07462,1.07948,1.08036,1.07379,1.07494,1.07993,1.08067,1.0747,124448
