date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-12-01 22:00:00,1.0517,1.05227,1.05243,1.0513,1.05301,1.05316,1.05338,1.05193,2986
2019-12-02 02:00:00,1.05087,1.05166,1.05251,1.05025,1.05115,1.05202,1.0528,1.05057,27876
2019-12-02 06:00:00,1.05059,1.05098,1.0513,1.04958,1.0509,1.05129,1.05159,1.04992,20287
2019-12-02 10:00:00,1.04927,1.04968,1.04993,1.04862,1.04958,1.04997,1.05024,1.04891,25429
2019-12-02 14:00:00,1.04807,1.04838,1.04913,1.04747,1.0484,1.04867,1.04946,1.0478,30289
2019-12-02 18:00:00,1.04778,1.04866,1.04932,1.04713,1.04819,1.04896,1.04961,1.04744,47049
2019-12-02 22:00:00,1.04837,1.04914,1.04916,1.04792,1.04871,1.04956,1.04962,1.04825,12599
2019-12-03 02:00:00,1.04831,1.04925,1.0496,1.048,1.04858,1.0496,1.04989,1.04827,25146
2019-12-03 06:00:00,1.04846,1.05138,1.05171,1.0479,1.04878,1.05171,1.05203,1.04819,25128
2019-12-03 10:00:00,1.04916,1.05053,1.05108,1.04903,1.04946,1.05083,1.0514,1.04932,37234
2019-12-03 14:00:00,1.04926,1.05,1.05031,1.04874,1.04959,1.05032,1.05062,1.04904,39757
2019-12-03 18:00:00,1.04949,1.04981,1.05031,1.049,1.04982,1.05014,1.05064,1.04927,29494
2019-12-03 22:00:00,1.04964,1.05057,1.05089,1.04936,1.04998,1.05104,1.05139,1.0497,10694
2019-12-04 02:00:00,1.0485,1.05069,1.05099,1.04742,1.04882,1.05103,1.05131,1.04793,45500
2019-12-04 06:00:00,1.04734,1.04834,1.04859,1.04702,1.04758,1.04862,1.04887,1.04732,18278
2019-12-04 10:00:00,1.0474,1.04919,1.04939,1.04695,1.04772,1.04952,1.04966,1.04722,45246
2019-12-04 14:00:00,1.04716,1.04931,1.04947,1.04675,1.04745,1.04965,1.04976,1.04705,35163
2019-12-04 18:00:00,1.04738,1.04949,1.04962,1.04712,1.04795,1.04979,1.04992,1.04748,40677
2019-12-04 22:00:00,1.0484,1.04969,1.04983,1.04815,1.04939,1.05004,1.05013,1.04846,9667
2019-12-05 02:00:00,1.04327,1.0464,1.04944,1.04228,1.0436,1.04672,1.04978,1.04256,46573
2019-12-05 06:00:00,1.04607,1.0463,1.04692,1.04534,1.04637,1.04664,1.04721,1.04567,16727
2019-12-05 10:00:00,1.04561,1.04688,1.04731,1.04525,1.04596,1.04722,1.0476,1.04555,31822
2019-12-05 14:00:00,1.04574,1.04608,1.04653,1.04529,1.04606,1.04639,1.04681,1.04559,28755
