date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-01-02 22:00:00,0.89816,0.89947,0.90304,0.89865,0.89857,0.90005,0.90325,0.89888,249114
2019-01-03 22:00:00,0.89947,0.90112,0.90915,0.89911,0.90005,0.90195,0.9142,0.89993,326386
2019-01-04 22:00:00,0.90112,0.89505,0.90288,0.89429,0.90195,0.89602,0.90309,0.89451,280405
2019-01-06 22:00:00,0.89505,0.89525,0.89547,0.89507,0.89602,0.89606,0.89623,0.89585,179
2019-01-07 22:00:00,0.89525,0.89776,0.89908,0.89511,0.89606,0.89837,0.89924,0.89533,211439
2019-01-08 22:00:00,0.89776,0.89958,0.90053,0.89469,0.89837,0.90006,0.90074,0.89494,210744
2019-01-09 22:00:00,0.89958,0.90246,0.90402,0.89742,0.90006,0.90278,0.90423,0.89763,281973
2019-01-10 22:00:00,0.90246,0.9018,0.90585,0.9011,0.90278,0.90248,0.90606,0.90135,257597
2019-01-11 22:00:00,0.9018,0.89283,0.90612,0.89213,0.90248,0.8936,0.90632,0.89235,280837
2019-01-13 22:00:00,0.89283,0.89101,0.8914,0.88907,0.8936,0.89204,0.89237,0.88982,408
2019-01-14 22:00:00,0.89101,0.8907,0.89517,0.88743,0.89204,0.89135,0.89535,0.88763,249651
2019-01-15 22:00:00,0.8907,0.88729,0.89842,0.88542,0.89135,0.88768,0.8988,0.88565,358337
2019-01-16 22:00:00,0.88729,0.88394,0.88884,0.8838,0.88768,0.88482,0.88905,0.88402,270659
2019-01-17 22:00:00,0.88394,0.87689,0.88693,0.87625,0.88482,0.87737,0.88715,0.87645,260013
2019-01-18 22:00:00,0.87689,0.88222,0.88377,0.87643,0.87737,0.88314,0.884,0.87689,228508
2019-01-20 22:00:00,0.88222,0.88185,0.88186,0.88185,0.88314,0.88268,0.88288,0.88268,6
2019-01-21 22:00:00,0.88185,0.88136,0.88614,0.88051,0.88268,0.88197,0.88638,0.88076,155623
2019-01-22 22:00:00,0.88136,0.87652,0.88277,0.8759,0.88197,0.87702,0.88298,0.87613,211209
2019-01-23 22:00:00,0.87652,0.87065,0.87813,0.86972,0.87702,0.87112,0.87837,0.86991,233058
2019-01-24 22:00:00,0.87065,0.8652,0.87244,0.86511,0.87112,0.86545,0.87265,0.86532,278753
2019-01-25 22:00:00,0.8652,0.86373,0.86808,0.86157,0.86545,0.86456,0.86827,0.86193,258524
2019-01-27 22:00:00,0.86373,0.86441,0.86543,0.86416,0.86456,0.86478,0.86607,0.86475,212
2019-01-28 22:00:00,0.86441,0.86815,0.86941,0.86342,0.86478,0.8687,0.86961,0.86382,170612
2019-01-29 22:00:00,0.86815,0.87459,0.87551,0.86551,0.8687,0.8753,0.87578,0.86574,281522
2019-01-30 22:00:00,0.87459,0.87503,0.87628,0.87131,0.8753,0.87535,0.87648,0.87153,274927
2019-01-31 22:00:00,0.87503,0.87301,0.87659,0.87103,0.87535,0.87349,0.87679,0.87123,241812
2019-02-01 22:00:00,0.87301,0.87552,0.87921,0.8726,0.87349,0.87633,0.87942,0.87279,219464
2019-02-03 22:00:00,0.87552,0.876,0.87626,0.87553,0.87633,0.87653,0.87719,0.87626,109
2019-02-04 22:00:00,0.876,0.87709,0.87738,0.8725,0.87653,0.87749,0.8778,0.87274,173419
2019-02-05 22:00:00,0.87709,0.88061,0.88207,0.87455,0.87749,0.881,0.88229,0.87514,171201
2019-02-06 22:00:00,0.88061,0.87826,0.88066,0.87717,0.881,0.87876,0.88155,0.87738,160623
2019-02-07 22:00:00,0.87826,0.87521,0.88131,0.87272,0.87876,0.87571,0.88148,0.87294,208346
2019-02-08 22:00:00,0.87521,0.87405,0.87639,0.87405,0.87571,0.875,0.8766,0.87434,162494
2019-02-10 22:00:00,0.87405,0.87541,0.87541,0.87506,0.875,0.87624,0.87624,0.87559,80
2019-02-11 22:00:00,0.87541,0.87691,0.87756,0.87442,0.87624,0.8773,0.87779,0.87462,188843
2019-02-12 22:00:00,0.87691,0.87826,0.87885,0.87553,0.8773,0.87869,0.87907,0.87574,171974
2019-02-13 22:00:00,0.87826,0.8765,0.87921,0.87422,0.87869,0.87679,0.87937,0.87447,204710
2019-02-14 22:00:00,0.8765,0.88199,0.88391,0.87533,0.87679,0.88246,0.88408,0.8759,229433
2019-02-15 22:00:00,0.88199,0.87571,0.88266,0.87511,0.88246,0.87667,0.88313,0.87534,205330
2019-02-17 22:00:00,0.87571,0.87422,0.87448,0.873,0.87667,0.87513,0.87516,0.87329,335
2019-02-18 22:00:00,0.87422,0.8749,0.87669,0.87411,0.87513,0.87536,0.8769,0.87428,153147
2019-02-19 22:00:00,0.8749,0.86789,0.87618,0.86713,0.87536,0.86827,0.87639,0.86733,208147
2019-02-20 22:00:00,0.86789,0.86855,0.87135,0.86721,0.86827,0.86895,0.87158,0.86744,208018
2019-02-21 22:00:00,0.86855,0.8687,0.87031,0.86651,0.86895,0.86957,0.87054,0.86671,226628
2019-02-22 22:00:00,0.8687,0.86748,0.8728,0.86746,0.86957,0.86817,0.87295,0.86782,183628
2019-02-24 22:00:00,0.86748,0.86696,0.86821,0.86696,0.86817,0.86753,0.86884,0.86753,187
2019-02-25 22:00:00,0.86696,0.86699,0.86988,0.86607,0.86753,0.86745,0.87004,0.86632,184210
2019-02-26 22:00:00,0.86699,0.85922,0.86699,0.85613,0.86745,0.85973,0.86782,0.85635,284621
2019-02-27 22:00:00,0.85922,0.85412,0.85954,0.8528,0.85973,0.85441,0.85995,0.85303,237523
2019-02-28 22:00:00,0.85412,0.85715,0.85851,0.85338,0.85441,0.85748,0.85874,0.85414,231821
2019-03-01 22:00:00,0.85715,0.85997,0.8622,0.85699,0.85748,0.86075,0.86241,0.85722,211651
2019-03-03 22:00:00,0.85997,0.85876,0.85906,0.85747,0.86075,0.85961,0.85983,0.85837,428
2019-03-04 22:00:00,0.85876,0.86007,0.86078,0.85568,0.85961,0.86079,0.86098,0.8559,174452
2019-03-05 22:00:00,0.86007,0.85782,0.86445,0.85761,0.86079,0.85821,0.86468,0.8578,208710
2019-03-06 22:00:00,0.85782,0.85826,0.86184,0.85761,0.85821,0.85868,0.86205,0.85797,193038
2019-03-07 22:00:00,0.85826,0.85525,0.86237,0.85349,0.85868,0.85578,0.86258,0.85372,247010
2019-03-08 22:00:00,0.85525,0.86269,0.86534,0.85461,0.85578,0.86336,0.86555,0.85491,264103
2019-03-10 21:00:00,0.86269,0.86612,0.86712,0.86443,0.86336,0.86704,0.86798,0.86496,245
2019-03-11 21:00:00,0.86612,0.85471,0.86749,0.85323,0.86704,0.85515,0.8677,0.85343,261646
2019-03-12 21:00:00,0.85471,0.8627,0.86531,0.84739,0.85515,0.86364,0.86555,0.84778,400937
2019-03-13 21:00:00,0.8627,0.84872,0.86395,0.8471,0.86364,0.84948,0.86448,0.84729,289353
2019-03-14 21:00:00,0.84872,0.85343,0.8561,0.84852,0.84948,0.85383,0.85639,0.84944,286303
