date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2017-01-03 22:00:00,1.05149,1.04041,1.05149,1.03395,1.0525,1.04071,1.0525,1.03412,367776
2017-01-04 22:00:00,1.04041,1.04857,1.04992,1.0389,1.04071,1.04928,1.0501,1.03903,375712
2017-01-05 22:00:00,1.04857,1.06043,1.06145,1.048,1.04928,1.06091,1.06161,1.04817,534983
2017-01-06 22:00:00,1.06043,1.05312,1.06213,1.05243,1.06091,1.05378,1.06247,1.05257,369413
2017-01-08 22:00:00,1.05312,1.05284,1.05312,1.0526,1.05378,1.05325,1.05375,1.05306,159
2017-01-09 22:00:00,1.05284,1.05709,1.05825,1.05099,1.05325,1.05773,1.05842,1.05116,294776
2017-01-10 22:00:00,1.05709,1.05528,1.06265,1.055,1.05773,1.05553,1.06282,1.05515,349222
2017-01-11 22:00:00,1.05528,1.05808,1.06222,1.04532,1.05553,1.05842,1.06241,1.04547,532246
2017-01-12 22:00:00,1.05808,1.06108,1.06839,1.05707,1.05842,1.06142,1.06856,1.05723,451088
2017-01-13 22:00:00,1.06108,1.06392,1.06749,1.05954,1.06142,1.06507,1.06768,1.05968,352233
2017-01-15 22:00:00,1.06392,1.06025,1.06183,1.05897,1.06507,1.06074,1.06234,1.05943,1970
2017-01-16 22:00:00,1.06025,1.05948,1.06349,1.05783,1.06074,1.06059,1.06367,1.05799,253027
2017-01-17 22:00:00,1.05948,1.07118,1.07189,1.05942,1.06059,1.07147,1.07202,1.05987,435071
2017-01-18 22:00:00,1.07118,1.06281,1.07147,1.06276,1.07147,1.06319,1.07168,1.06293,318332
2017-01-19 22:00:00,1.06281,1.06619,1.0676,1.05884,1.06319,1.06659,1.06775,1.05897,403730
2017-01-20 22:00:00,1.06619,1.06977,1.07089,1.06244,1.06659,1.07077,1.07104,1.06259,376405
2017-01-22 22:00:00,1.06977,1.07014,1.07116,1.07006,1.07077,1.07045,1.07147,1.07034,470
2017-01-23 22:00:00,1.07014,1.07619,1.07685,1.06933,1.07045,1.07664,1.07703,1.0697,350081
2017-01-24 22:00:00,1.07619,1.07292,1.07744,1.07195,1.07664,1.07333,1.07758,1.07209,293171
2017-01-25 22:00:00,1.07292,1.07452,1.07691,1.07106,1.07333,1.07504,1.07707,1.07121,292596
2017-01-26 22:00:00,1.07452,1.06792,1.0765,1.06569,1.07504,1.06838,1.07664,1.06584,311589
2017-01-27 22:00:00,1.06792,1.06897,1.07241,1.06574,1.06838,1.07016,1.07258,1.0659,284156
2017-01-29 22:00:00,1.06897,1.07205,1.07314,1.0709,1.07016,1.07254,1.07337,1.07178,1480
2017-01-30 22:00:00,1.07205,1.06905,1.07396,1.06195,1.07254,1.06991,1.07413,1.06209,298765
2017-01-31 22:00:00,1.06905,1.07964,1.08116,1.06837,1.06991,1.07989,1.08132,1.06852,396808
2017-02-01 22:00:00,1.07964,1.0767,1.08069,1.07285,1.07989,1.07694,1.08083,1.07335,319441
2017-02-02 22:00:00,1.0767,1.07571,1.08281,1.07551,1.07694,1.07602,1.08296,1.07565,313310
2017-02-03 22:00:00,1.07571,1.07842,1.0797,1.0708,1.07602,1.07917,1.07985,1.0713,329052
2017-02-05 22:00:00,1.07842,1.07888,1.08008,1.07858,1.07917,1.07915,1.08056,1.07915,689
2017-02-06 22:00:00,1.07888,1.07483,1.07904,1.07047,1.07915,1.07521,1.0795,1.07063,285696
2017-02-07 22:00:00,1.07483,1.06827,1.07495,1.06553,1.07521,1.06849,1.07525,1.06567,272462
2017-02-08 22:00:00,1.06827,1.06972,1.07134,1.06397,1.06849,1.06999,1.0715,1.06414,255255
2017-02-09 22:00:00,1.06972,1.065,1.07089,1.06492,1.06999,1.06625,1.07102,1.06516,204271
2017-02-10 22:00:00,1.065,1.06346,1.06669,1.06068,1.06625,1.06475,1.06685,1.06084,150934
2017-02-12 22:00:00,1.06346,1.06252,1.0627,1.06174,1.06475,1.06301,1.06325,1.06267,134
2017-02-13 22:00:00,1.06252,1.05908,1.06578,1.05901,1.06301,1.06027,1.06596,1.05927,257513
2017-02-14 22:00:00,1.05908,1.0572,1.06327,1.05601,1.06027,1.05858,1.06344,1.05618,319299
2017-02-15 22:00:00,1.0572,1.05977,1.06084,1.05205,1.05858,1.06015,1.06106,1.05222,327109
2017-02-16 22:00:00,1.05977,1.06737,1.06786,1.0588,1.06015,1.06753,1.06802,1.05921,325830
2017-02-17 22:00:00,1.06737,1.06076,1.06759,1.06029,1.06753,1.06138,1.06778,1.06062,307042
2017-02-19 22:00:00,1.06076,1.06046,1.06082,1.06023,1.06138,1.06109,1.06163,1.06094,130
2017-02-20 22:00:00,1.06046,1.06083,1.06322,1.06019,1.06109,1.06143,1.0634,1.06036,198427
2017-02-21 22:00:00,1.06083,1.0529,1.06145,1.05247,1.06143,1.05429,1.06191,1.05265,279723
2017-02-22 22:00:00,1.0529,1.05564,1.05733,1.04929,1.05429,1.05598,1.05753,1.04943,381570
2017-02-23 22:00:00,1.05564,1.05803,1.05947,1.05366,1.05598,1.05843,1.05962,1.05383,325270
2017-02-24 22:00:00,1.05803,1.0559,1.06171,1.05555,1.05843,1.0564,1.06193,1.05576,314096
2017-02-26 22:00:00,1.0559,1.05591,1.0567,1.05524,1.0564,1.05673,1.05724,1.05629,237
2017-02-27 22:00:00,1.05591,1.05853,1.06299,1.05505,1.05673,1.05883,1.06321,1.05522,290809
2017-02-28 22:00:00,1.05853,1.05755,1.06294,1.05642,1.05883,1.05792,1.06306,1.05689,326270
2017-03-01 22:00:00,1.05755,1.05455,1.05886,1.05134,1.05792,1.0549,1.05904,1.0515,415262
2017-03-02 22:00:00,1.05455,1.05045,1.05509,1.04941,1.0549,1.05078,1.0553,1.04956,304924
2017-03-03 22:00:00,1.05045,1.06207,1.06231,1.04964,1.05078,1.06243,1.06252,1.05031,359781
2017-03-05 22:00:00,1.06207,1.06093,1.06115,1.05982,1.06243,1.06126,1.06211,1.06047,227
2017-03-06 22:00:00,1.06093,1.05809,1.06394,1.05736,1.06126,1.05835,1.06415,1.05752,228202
2017-03-07 22:00:00,1.05809,1.05635,1.06019,1.05573,1.05835,1.05674,1.06036,1.05589,234885
2017-03-08 22:00:00,1.05635,1.05407,1.05735,1.05331,1.05674,1.05438,1.0575,1.05355,268933
2017-03-09 22:00:00,1.05407,1.05753,1.06147,1.05244,1.05438,1.05793,1.06166,1.05258,401759
2017-03-10 21:00:00,1.05753,1.06699,1.06984,1.05706,1.05793,1.06792,1.06999,1.05735,371403
2017-03-12 21:00:00,1.06699,1.06738,1.06815,1.06686,1.06792,1.06821,1.06901,1.06761,481
2017-03-13 21:00:00,1.06738,1.06499,1.07137,1.06499,1.06821,1.06536,1.07152,1.06529,301972
2017-03-14 21:00:00,1.06499,1.06034,1.06617,1.0599,1.06536,1.0607,1.06636,1.06006,272491
2017-03-15 21:00:00,1.06034,1.07313,1.07394,1.06027,1.0607,1.07347,1.07413,1.06045,353525
2017-03-16 21:00:00,1.07313,1.0763,1.07696,1.07049,1.07347,1.07667,1.07712,1.07064,352362
2017-03-17 21:00:00,1.0763,1.07373,1.07817,1.07267,1.07667,1.07415,1.07833,1.07283,285667
2017-03-19 21:00:00,1.07373,1.07318,1.07391,1.07284,1.07415,1.07351,1.07431,1.07338,122
2017-03-20 21:00:00,1.07318,1.07386,1.07765,1.07243,1.07351,1.07422,1.07783,1.07258,222118
2017-03-21 21:00:00,1.07386,1.08089,1.08186,1.07182,1.07422,1.08127,1.08202,1.07199,319514
2017-03-22 21:00:00,1.08089,1.07962,1.08239,1.07751,1.08127,1.07997,1.08256,1.07766,306289
2017-03-23 21:00:00,1.07962,1.07829,1.08043,1.07673,1.07997,1.07866,1.0806,1.07687,283324
2017-03-24 21:00:00,1.07829,1.07955,1.08173,1.07594,1.07866,1.08013,1.08189,1.0761,264282
2017-03-26 21:00:00,1.07955,1.08325,1.08451,1.08122,1.08013,1.08438,1.08561,1.08231,1784
2017-03-27 21:00:00,1.08325,1.0862,1.09051,1.08201,1.08438,1.08635,1.09072,1.08291,243182
2017-03-28 21:00:00,1.0862,1.08121,1.08719,1.07979,1.08635,1.08159,1.08734,1.07995,217506
2017-03-29 21:00:00,1.08121,1.07637,1.08258,1.07389,1.08159,1.07668,1.08274,1.07406,255766
2017-03-30 21:00:00,1.07637,1.06727,1.07689,1.0671,1.07668,1.06763,1.0771,1.06725,238710
2017-03-31 21:00:00,1.06727,1.06561,1.07011,1.06505,1.06763,1.06607,1.07026,1.06524,251799
2017-04-02 21:00:00,1.06561,1.06584,1.06636,1.06534,1.06607,1.06666,1.06689,1.06618,164
2017-04-03 21:00:00,1.06584,1.06685,1.06804,1.06416,1.06666,1.06704,1.0682,1.06432,200492
2017-04-04 21:00:00,1.06685,1.06706,1.06765,1.06339,1.06704,1.06742,1.06783,1.06365,187158
2017-04-05 21:00:00,1.06706,1.06609,1.06884,1.06318,1.06742,1.06642,1.06898,1.06367,229150
2017-04-06 21:00:00,1.06609,1.06424,1.06834,1.06282,1.06642,1.06457,1.0685,1.06297,212732
2017-04-07 21:00:00,1.06424,1.05885,1.06663,1.05797,1.06457,1.05927,1.06709,1.05813,280555
2017-04-09 21:00:00,1.05885,1.05846,1.0586,1.05792,1.05927,1.05903,1.0595,1.05847,202
2017-04-10 21:00:00,1.05846,1.05944,1.0606,1.05687,1.05903,1.05976,1.06075,1.05706,160946
2017-04-11 21:00:00,1.05944,1.06033,1.06293,1.05778,1.05976,1.06052,1.06308,1.05794,189867
2017-04-12 21:00:00,1.06033,1.06638,1.06743,1.05879,1.06052,1.06671,1.06759,1.05896,212832
2017-04-13 21:00:00,1.06638,1.06108,1.0677,1.06083,1.06671,1.06145,1.06784,1.061,193493
2017-04-14 21:00:00,1.06108,1.06017,1.06289,1.06017,1.06145,1.06151,1.06312,1.06068,81158
2017-04-16 21:00:00,1.06017,1.06119,1.06184,1.06099,1.06151,1.06251,1.06261,1.06151,109
2017-04-17 21:00:00,1.06119,1.06419,1.06696,1.06019,1.06251,1.06458,1.06714,1.06041,113278
2017-04-18 21:00:00,1.06419,1.07287,1.07353,1.06365,1.06458,1.07316,1.07369,1.06379,224280
2017-04-19 21:00:00,1.07287,1.071,1.07361,1.06993,1.07316,1.07131,1.07385,1.07006,176197
2017-04-20 21:00:00,1.071,1.07147,1.07768,1.07081,1.07131,1.07179,1.07783,1.07101,183242
