date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-07-02 21:00:00,1.24816,1.24166,1.24965,1.24033,1.24858,1.24223,1.24987,1.24054,339304
2019-07-03 21:00:00,1.24166,1.2395,1.24212,1.23701,1.24223,1.24106,1.24282,1.23726,269909
2019-07-04 21:00:00,1.2395,1.23853,1.24141,1.23824,1.24106,1.23965,1.24181,1.2389,138638
2019-07-05 21:00:00,1.23853,1.24175,1.24294,1.23771,1.23965,1.24292,1.24319,1.23797,296866
2019-07-07 21:00:00,1.24175,1.24146,1.24257,1.24145,1.24292,1.24355,1.24391,1.24252,50
2019-07-08 21:00:00,1.24146,1.2436,1.2443,1.23949,1.24355,1.24435,1.24457,1.23975,223836
2019-07-09 21:00:00,1.2436,1.23796,1.24501,1.23609,1.24435,1.23862,1.24527,1.23634,271692
2019-07-10 21:00:00,1.23796,1.2369,1.23922,1.23472,1.23862,1.23769,1.23947,1.23499,312585
2019-07-11 21:00:00,1.2369,1.2399,1.24107,1.23417,1.23769,1.24042,1.2413,1.23444,307785
2019-07-12 21:00:00,1.2399,1.23682,1.24134,1.23424,1.24042,1.23867,1.24162,1.23448,285136
2019-07-14 21:00:00,1.23682,1.2379,1.23804,1.23652,1.23867,1.239,1.23925,1.23816,45
2019-07-15 21:00:00,1.2379,1.23194,1.2386,1.23056,1.239,1.2325,1.23989,1.23079,215297
2019-07-16 21:00:00,1.23194,1.22529,1.2331,1.22379,1.2325,1.22597,1.23338,1.22404,278072
2019-07-17 21:00:00,1.22529,1.2273,1.22967,1.22367,1.22597,1.22802,1.22992,1.22392,246063
2019-07-18 21:00:00,1.2273,1.23122,1.2344,1.22467,1.22802,1.23184,1.23463,1.22493,317306
2019-07-19 21:00:00,1.23122,1.2267,1.23364,1.22667,1.23184,1.22842,1.2339,1.22699,255181
2019-07-21 21:00:00,1.2267,1.22926,1.22926,1.22903,1.22842,1.2309,1.2309,1.23082,15
2019-07-22 21:00:00,1.22926,1.22488,1.23041,1.22273,1.2309,1.22534,1.23098,1.22296,255238
2019-07-23 21:00:00,1.22488,1.22517,1.2274,1.22239,1.22534,1.22586,1.22767,1.22263,258789
2019-07-24 21:00:00,1.22517,1.22914,1.23338,1.22441,1.22586,1.22956,1.23363,1.22503,249009
2019-07-25 21:00:00,1.22914,1.23372,1.23686,1.22812,1.22956,1.23445,1.23708,1.22836,336691
2019-07-26 21:00:00,1.23372,1.22942,1.23443,1.22942,1.23445,1.23082,1.23515,1.23005,229769
2019-07-28 21:00:00,1.22942,1.22912,1.23072,1.22871,1.23082,1.23024,1.23122,1.22957,169
2019-07-29 21:00:00,1.22912,1.21122,1.22996,1.21115,1.23024,1.21174,1.23095,1.21154,215275
2019-07-30 21:00:00,1.21122,1.20275,1.21245,1.20177,1.21174,1.2041,1.21271,1.20207,292758
2019-07-31 21:00:00,1.20275,1.20822,1.2126,1.20241,1.2041,1.20999,1.21287,1.20276,396797
2019-08-01 21:00:00,1.20822,1.20057,1.20942,1.19998,1.20999,1.20246,1.21009,1.20028,468743
2019-08-02 21:00:00,1.20057,1.1941,1.20168,1.19026,1.20246,1.19531,1.20359,1.19051,453772
2019-08-04 21:00:00,1.1941,1.19479,1.19666,1.19479,1.19531,1.19597,1.19716,1.19597,26
2019-08-05 21:00:00,1.19479,1.18129,1.19521,1.18012,1.19597,1.18221,1.19712,1.1804,416333
2019-08-06 21:00:00,1.18129,1.18747,1.19493,1.17925,1.18221,1.18854,1.19522,1.17959,420957
2019-08-07 21:00:00,1.18747,1.18402,1.1902,1.17877,1.18854,1.18509,1.19043,1.17904,443428
2019-08-08 21:00:00,1.18402,1.18232,1.18731,1.18153,1.18509,1.18324,1.1876,1.18181,336459
2019-08-09 21:00:00,1.18232,1.16876,1.18348,1.16876,1.18324,1.17008,1.18399,1.16966,279790
2019-08-11 21:00:00,1.16876,1.17276,1.17401,1.17155,1.17008,1.17374,1.17518,1.17339,214
2019-08-12 21:00:00,1.17276,1.17005,1.17671,1.16747,1.17374,1.17079,1.17701,1.16781,399942
2019-08-13 21:00:00,1.17005,1.17755,1.17987,1.16742,1.17079,1.17829,1.18017,1.16766,502550
2019-08-14 21:00:00,1.17755,1.17314,1.17794,1.17127,1.17829,1.17434,1.17861,1.17155,520807
2019-08-15 21:00:00,1.17314,1.17897,1.18518,1.17268,1.17434,1.18026,1.18547,1.1732,603895
2019-08-16 21:00:00,1.17897,1.18744,1.19396,1.17863,1.18026,1.18941,1.19424,1.17972,432681
2019-08-18 21:00:00,1.18744,1.19173,1.19173,1.19173,1.18941,1.19277,1.19277,1.19277,1
2019-08-19 21:00:00,1.19173,1.18999,1.19254,1.1846,1.19277,1.19059,1.19281,1.18486,287195
2019-08-20 21:00:00,1.18999,1.18957,1.19331,1.18173,1.19059,1.19082,1.19379,1.18201,341747
2019-08-21 21:00:00,1.18957,1.1906,1.19241,1.187,1.19082,1.19143,1.19266,1.18724,281272
2019-08-22 21:00:00,1.1906,1.2051,1.2065,1.18846,1.19143,1.2056,1.20676,1.18871,376880
2019-08-23 21:00:00,1.2051,1.19698,1.20739,1.19425,1.2056,1.19876,1.20766,1.19459,416520
2019-08-25 21:00:00,1.19698,1.19232,1.1943,1.19029,1.19876,1.19391,1.19565,1.19116,580
2019-08-26 21:00:00,1.19232,1.19541,1.20147,1.19155,1.19391,1.19661,1.20178,1.192,545425
2019-08-27 21:00:00,1.19541,1.20574,1.20896,1.1943,1.19661,1.20646,1.20924,1.19454,395731
2019-08-28 21:00:00,1.20574,1.19831,1.20675,1.19316,1.20646,1.19901,1.20701,1.19349,419555
2019-08-29 21:00:00,1.19831,1.20163,1.20359,1.19484,1.19901,1.20208,1.20383,1.19511,365308
2019-08-30 21:00:00,1.20163,1.20347,1.20788,1.20092,1.20208,1.20468,1.20812,1.2014,383695
2019-09-01 21:00:00,1.20347,1.20306,1.20437,1.2013,1.20468,1.20495,1.20611,1.20298,455
2019-09-02 21:00:00,1.20306,1.19434,1.20595,1.19279,1.20495,1.19613,1.20625,1.19306,250263
2019-09-03 21:00:00,1.19434,1.19223,1.19686,1.18503,1.19613,1.19293,1.19731,1.18534,447463
2019-09-04 21:00:00,1.19223,1.20153,1.20277,1.19149,1.19293,1.20236,1.20307,1.19267,406241
2019-09-05 21:00:00,1.20153,1.2156,1.21754,1.20003,1.20236,1.21655,1.21786,1.2003,423322
2019-09-06 21:00:00,1.2156,1.21267,1.22028,1.21243,1.21655,1.21456,1.2205,1.21271,338986
2019-09-08 21:00:00,1.21267,1.21127,1.21203,1.21084,1.21456,1.21323,1.21332,1.21167,134
2019-09-09 21:00:00,1.21127,1.22429,1.22713,1.21078,1.21323,1.22521,1.22741,1.21103,307512
2019-09-10 21:00:00,1.22429,1.22473,1.22804,1.21953,1.22521,1.22634,1.22843,1.2198,318357
2019-09-11 21:00:00,1.22473,1.22353,1.22899,1.22266,1.22634,1.22452,1.22926,1.22294,318500
2019-09-12 21:00:00,1.22353,1.22052,1.22583,1.21917,1.22452,1.22217,1.22618,1.21945,490386
2019-09-13 21:00:00,1.22052,1.23678,1.23815,1.21984,1.22217,1.23862,1.23873,1.22016,364867
2019-09-15 21:00:00,1.23678,1.23126,1.23487,1.23117,1.23862,1.23265,1.23618,1.23262,558
2019-09-16 21:00:00,1.23126,1.23346,1.23647,1.23001,1.23265,1.23471,1.23673,1.23032,319689
2019-09-17 21:00:00,1.23346,1.24096,1.24308,1.23028,1.23471,1.24155,1.24338,1.23056,338062
2019-09-18 21:00:00,1.24096,1.24369,1.24764,1.23748,1.24155,1.24424,1.24797,1.23778,334823
2019-09-19 21:00:00,1.24369,1.24305,1.2456,1.23288,1.24424,1.24409,1.2459,1.23317,362652
2019-09-20 21:00:00,1.24305,1.23531,1.2473,1.23523,1.24409,1.23687,1.2476,1.23572,356013
2019-09-22 21:00:00,1.23531,1.23521,1.23746,1.23521,1.23687,1.23577,1.23803,1.23577,34
2019-09-23 21:00:00,1.23521,1.23054,1.23833,1.22877,1.23577,1.23121,1.23864,1.22902,219685
2019-09-24 21:00:00,1.23054,1.23062,1.23633,1.22916,1.23121,1.23209,1.23665,1.22945,295554
2019-09-25 21:00:00,1.23062,1.22425,1.23164,1.22016,1.23209,1.22581,1.23276,1.22041,305624
