date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-10-01 03:00:00,1.22569,1.22744,1.22761,1.22552,1.22599,1.22774,1.22791,1.22578,26527
2019-10-01 07:00:00,1.2272,1.22888,1.22976,1.22642,1.22746,1.22917,1.23002,1.2267,46296
2019-10-01 11:00:00,1.22888,1.23158,1.23249,1.2264,1.22917,1.23186,1.23277,1.2267,68164
2019-10-01 15:00:00,1.21791,1.22401,1.22792,1.21556,1.21817,1.22429,1.22819,1.21582,115978
2019-10-01 19:00:00,1.21632,1.22396,1.22511,1.21568,1.2166,1.22424,1.22545,1.21596,73018
2019-10-01 23:00:00,1.22022,1.22175,1.22233,1.2198,1.22052,1.22341,1.22352,1.2201,14911
2019-10-02 03:00:00,1.21992,1.22085,1.2209,1.21983,1.2202,1.22111,1.22118,1.2201,25417
2019-10-02 07:00:00,1.21934,1.2247,1.2253,1.219,1.21955,1.22495,1.22559,1.21928,44529
2019-10-02 11:00:00,1.22223,1.2291,1.22969,1.22214,1.22251,1.22934,1.22995,1.22242,68058
2019-10-02 15:00:00,1.22708,1.22851,1.23178,1.22561,1.22736,1.22878,1.23206,1.22584,99526
2019-10-02 19:00:00,1.22699,1.2276,1.22831,1.22548,1.22726,1.22788,1.22858,1.22573,53009
2019-10-02 23:00:00,1.22576,1.22632,1.22734,1.22418,1.22643,1.22685,1.22766,1.22553,21093
2019-10-03 03:00:00,1.22534,1.22766,1.22819,1.22494,1.22563,1.22797,1.22847,1.22523,26256
2019-10-03 07:00:00,1.22676,1.23018,1.23096,1.22592,1.22705,1.23045,1.23122,1.22622,48272
2019-10-03 11:00:00,1.22944,1.23179,1.23213,1.22838,1.22974,1.23205,1.23242,1.22866,68922
2019-10-03 15:00:00,1.23179,1.23791,1.24022,1.23177,1.23205,1.2382,1.24046,1.23204,136103
2019-10-03 19:00:00,1.23341,1.23445,1.23663,1.2321,1.2337,1.23474,1.23695,1.23236,55910
2019-10-03 23:00:00,1.23123,1.23189,1.23244,1.23079,1.23185,1.2326,1.2339,1.23135,17171
2019-10-04 03:00:00,1.23181,1.23343,1.23403,1.23157,1.23212,1.2337,1.23427,1.23187,27914
