date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-12-20 00:00:00,1.27341,1.27253,1.27344,1.27246,1.27372,1.2728,1.27372,1.27271,1852
2019-12-20 00:30:00,1.27253,1.27265,1.2728,1.27243,1.2728,1.27292,1.27306,1.2727,1676
2019-12-20 01:00:00,1.27265,1.27316,1.27334,1.27264,1.27292,1.27341,1.27359,1.27292,2141
2019-12-20 01:30:00,1.27316,1.274,1.27407,1.27297,1.27341,1.27427,1.27434,1.27324,2469
2019-12-20 02:00:00,1.274,1.27416,1.27427,1.27392,1.27427,1.27443,1.27454,1.27419,1512
2019-12-20 02:30:00,1.27416,1.27427,1.2743,1.27399,1.27443,1.27455,1.27459,1.27426,919
2019-12-20 03:00:00,1.27427,1.27458,1.2747,1.27418,1.27455,1.27488,1.27499,1.27446,1973
2019-12-20 03:30:00,1.27458,1.27495,1.27499,1.2745,1.27488,1.27523,1.27525,1.2748,1499
2019-12-20 04:00:00,1.27495,1.27493,1.27513,1.27486,1.27523,1.27522,1.27538,1.27512,1218
2019-12-20 04:30:00,1.27493,1.27469,1.27543,1.27456,1.27522,1.27496,1.27572,1.27482,1828
2019-12-20 05:00:00,1.27469,1.27442,1.27491,1.27434,1.27496,1.27471,1.27516,1.27463,1277
2019-12-20 05:30:00,1.27442,1.27442,1.27457,1.27427,1.27471,1.27471,1.27482,1.27456,1422
2019-12-20 06:00:00,1.27442,1.27435,1.27468,1.27395,1.27471,1.27462,1.27496,1.27422,2276
2019-12-20 06:30:00,1.27435,1.27526,1.27543,1.27418,1.27462,1.27557,1.27567,1.27444,2309
2019-12-20 07:00:00,1.27526,1.27484,1.27581,1.27464,1.27557,1.27508,1.27607,1.27492,4921
2019-12-20 07:30:00,1.27484,1.27464,1.27514,1.27372,1.27508,1.27491,1.27542,1.27397,4632
2019-12-20 08:00:00,1.27464,1.27541,1.27573,1.27403,1.27491,1.27569,1.27599,1.27428,7661
2019-12-20 08:30:00,1.27541,1.27775,1.27785,1.27523,1.27569,1.27804,1.27814,1.27551,6089
2019-12-20 09:00:00,1.27775,1.27729,1.27801,1.27678,1.27804,1.27767,1.2783,1.27703,5708
2019-12-20 09:30:00,1.27729,1.27767,1.27893,1.27729,1.27767,1.27798,1.2792,1.27768,6130
2019-12-20 10:00:00,1.27767,1.27917,1.27938,1.2773,1.27798,1.27943,1.27964,1.27757,5259
2019-12-20 10:30:00,1.27917,1.27836,1.27953,1.27817,1.27943,1.27861,1.2798,1.27841,5446
2019-12-20 11:00:00,1.27836,1.27813,1.27938,1.27808,1.27861,1.2784,1.27962,1.27835,7304
2019-12-20 11:30:00,1.27813,1.27695,1.27848,1.27659,1.2784,1.27719,1.27874,1.27688,6567
2019-12-20 12:00:00,1.27695,1.2773,1.27759,1.27653,1.27719,1.27755,1.27785,1.27681,4730
2019-12-20 12:30:00,1.2773,1.27779,1.27789,1.2764,1.27755,1.27807,1.27816,1.27666,5422
2019-12-20 13:00:00,1.27779,1.27822,1.27886,1.27732,1.27807,1.27886,1.27913,1.27758,6900
2019-12-20 13:30:00,1.27822,1.27991,1.2801,1.27789,1.27886,1.28015,1.28035,1.27817,8107
2019-12-20 14:00:00,1.27991,1.27983,1.28076,1.27933,1.28015,1.28012,1.28095,1.2796,7399
2019-12-20 14:30:00,1.27983,1.28001,1.28038,1.27878,1.28012,1.28041,1.28067,1.27905,8133
2019-12-20 15:00:00,1.28001,1.28178,1.28208,1.27978,1.28041,1.28207,1.28233,1.2801,8901
2019-12-20 15:30:00,1.28178,1.28087,1.28324,1.2804,1.28207,1.28115,1.28349,1.28068,11892
2019-12-20 16:00:00,1.28087,1.28123,1.28195,1.28055,1.28115,1.2815,1.28222,1.28082,7792
