date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-01-02 22:00:00,1.36452,1.3576,1.36616,1.35682,1.36481,1.35807,1.36637,1.35705,265983
2019-01-03 22:00:00,1.3576,1.34865,1.36535,1.34682,1.35807,1.34893,1.36596,1.34704,372514
2019-01-04 22:00:00,1.34865,1.33697,1.34952,1.33697,1.34893,1.33786,1.34979,1.33756,295002
2019-01-06 22:00:00,1.33697,1.33773,1.33783,1.33723,1.33786,1.33848,1.33857,1.33797,51
2019-01-07 22:00:00,1.33773,1.32969,1.33879,1.32775,1.33848,1.33011,1.3392,1.32799,193594
2019-01-08 22:00:00,1.32969,1.32718,1.33221,1.32666,1.33011,1.32745,1.33243,1.32688,188344
2019-01-09 22:00:00,1.32718,1.3208,1.32777,1.31789,1.32745,1.32111,1.32834,1.3181,267452
2019-01-10 22:00:00,1.3208,1.32347,1.32583,1.32001,1.32111,1.32406,1.32603,1.32033,216184
2019-01-11 22:00:00,1.32347,1.3263,1.32777,1.31825,1.32406,1.32695,1.32799,1.31844,200528
2019-01-13 22:00:00,1.3263,1.32558,1.32633,1.32557,1.32695,1.32641,1.32646,1.32611,53
2019-01-14 22:00:00,1.32558,1.32835,1.32968,1.32518,1.32641,1.32865,1.32988,1.32537,173519
2019-01-15 22:00:00,1.32835,1.32645,1.32932,1.32253,1.32865,1.32673,1.32954,1.32272,227247
2019-01-16 22:00:00,1.32645,1.32509,1.32833,1.32344,1.32673,1.32573,1.32854,1.32362,203902
2019-01-17 22:00:00,1.32509,1.32758,1.3318,1.32463,1.32573,1.32807,1.332,1.32494,215455
2019-01-18 22:00:00,1.32758,1.32639,1.32833,1.32268,1.32807,1.32676,1.32853,1.32339,181120
2019-01-20 22:00:00,1.32639,1.32646,1.32656,1.32592,1.32676,1.32693,1.32708,1.32643,53
2019-01-21 22:00:00,1.32646,1.32912,1.33173,1.32502,1.32693,1.32987,1.33193,1.32531,161533
2019-01-22 22:00:00,1.32912,1.33529,1.33566,1.32915,1.32987,1.33559,1.33587,1.32956,181080
2019-01-23 22:00:00,1.33529,1.33432,1.33702,1.33041,1.33559,1.33458,1.33719,1.3306,190121
2019-01-24 22:00:00,1.33432,1.33465,1.33742,1.33283,1.33458,1.33538,1.33764,1.33305,229723
2019-01-25 22:00:00,1.33465,1.32144,1.33601,1.32137,1.33538,1.32192,1.33643,1.32169,211274
2019-01-27 22:00:00,1.32144,1.3217,1.32231,1.32136,1.32192,1.3225,1.3228,1.32183,110
2019-01-28 22:00:00,1.3217,1.32592,1.32848,1.32023,1.3225,1.32644,1.32869,1.32042,149956
2019-01-29 22:00:00,1.32592,1.32676,1.32839,1.32406,1.32644,1.32712,1.32861,1.32427,200623
2019-01-30 22:00:00,1.32676,1.31467,1.32807,1.31176,1.32712,1.31494,1.32827,1.31195,263320
2019-01-31 22:00:00,1.31467,1.31224,1.31644,1.31194,1.31494,1.31287,1.31664,1.31215,225705
2019-02-01 22:00:00,1.31224,1.30984,1.31566,1.30675,1.31287,1.31025,1.31585,1.30697,208773
2019-02-03 22:00:00,1.30984,1.3098,1.3098,1.30911,1.31025,1.31066,1.31066,1.30958,68
2019-02-04 22:00:00,1.3098,1.31089,1.31466,1.30845,1.31066,1.31114,1.31486,1.30866,144941
2019-02-05 22:00:00,1.31089,1.31253,1.31523,1.31012,1.31114,1.31277,1.31543,1.31032,144516
2019-02-06 22:00:00,1.31253,1.32114,1.32142,1.31233,1.31277,1.32141,1.32159,1.31258,184361
2019-02-07 22:00:00,1.32114,1.33071,1.33163,1.32027,1.32141,1.33097,1.33184,1.32079,182651
2019-02-08 22:00:00,1.33071,1.32736,1.33282,1.32312,1.33097,1.32829,1.33303,1.32335,189409
2019-02-10 22:00:00,1.32736,1.32683,1.32706,1.32631,1.32829,1.3273,1.32753,1.32678,55
2019-02-11 22:00:00,1.32683,1.32992,1.33181,1.32607,1.3273,1.33037,1.33201,1.32627,169022
2019-02-12 22:00:00,1.32992,1.32342,1.33139,1.32322,1.33037,1.3239,1.33158,1.32342,174524
2019-02-13 22:00:00,1.32342,1.32534,1.32585,1.31953,1.3239,1.32558,1.32607,1.31975,162469
2019-02-14 22:00:00,1.32534,1.32937,1.33392,1.3228,1.32558,1.32986,1.33415,1.32302,214102
2019-02-15 22:00:00,1.32937,1.32412,1.33122,1.32411,1.32986,1.32501,1.33141,1.3246,189331
2019-02-17 22:00:00,1.32412,1.32491,1.32551,1.32466,1.32501,1.32588,1.32598,1.32513,69
2019-02-18 22:00:00,1.32491,1.32359,1.32541,1.32243,1.32588,1.32455,1.32598,1.32263,125326
2019-02-19 22:00:00,1.32359,1.32091,1.32805,1.32046,1.32455,1.32115,1.32825,1.32067,188553
2019-02-20 22:00:00,1.32091,1.31733,1.32155,1.31493,1.32115,1.31758,1.322,1.31514,202526
2019-02-21 22:00:00,1.31733,1.32303,1.32337,1.31613,1.31758,1.32337,1.3236,1.31639,259312
2019-02-22 22:00:00,1.32303,1.31339,1.32412,1.31322,1.32337,1.3138,1.32433,1.31346,203145
2019-02-24 22:00:00,1.31339,1.3133,1.3134,1.31294,1.3138,1.31379,1.3139,1.31333,53
2019-02-25 22:00:00,1.3133,1.31862,1.31965,1.31118,1.31379,1.31891,1.31987,1.31138,199150
2019-02-26 22:00:00,1.31862,1.31675,1.32348,1.31541,1.31891,1.317,1.3237,1.31563,183187
2019-02-27 22:00:00,1.31675,1.31546,1.31753,1.3117,1.317,1.31578,1.31774,1.3119,442272
2019-02-28 22:00:00,1.31546,1.31709,1.32064,1.31393,1.31578,1.31737,1.32085,1.31412,222213
2019-03-01 22:00:00,1.31709,1.32955,1.33053,1.3129,1.31737,1.3302,1.33097,1.3131,246819
2019-03-03 22:00:00,1.32955,1.32731,1.32911,1.32711,1.3302,1.32808,1.32958,1.32778,202
2019-03-04 22:00:00,1.32731,1.33011,1.33367,1.3274,1.32808,1.33051,1.33389,1.32763,197031
2019-03-05 22:00:00,1.33011,1.33476,1.33595,1.32991,1.33051,1.33526,1.33613,1.33043,177457
2019-03-06 22:00:00,1.33476,1.34406,1.34564,1.3347,1.33526,1.3443,1.34586,1.33508,202718
2019-03-07 22:00:00,1.34406,1.34525,1.34665,1.34126,1.3443,1.34548,1.34686,1.34146,228459
2019-03-08 22:00:00,1.34525,1.34149,1.34653,1.33894,1.34548,1.34223,1.34676,1.33914,225565
2019-03-10 21:00:00,1.34149,1.34146,1.34229,1.34087,1.34223,1.34193,1.34268,1.34173,123
2019-03-11 21:00:00,1.34146,1.3392,1.34389,1.33914,1.34193,1.33947,1.34416,1.33936,167487
2019-03-12 21:00:00,1.3392,1.33521,1.34163,1.33515,1.33947,1.33559,1.34185,1.33537,185631
2019-03-13 21:00:00,1.33521,1.32985,1.33704,1.32896,1.33559,1.3305,1.33725,1.32917,177636
2019-03-14 21:00:00,1.32985,1.3333,1.33462,1.3286,1.3305,1.3336,1.33483,1.32883,188117
2019-03-15 21:00:00,1.3333,1.33344,1.33704,1.32882,1.3336,1.33395,1.33724,1.32902,182885
2019-03-17 21:00:00,1.33344,1.33291,1.33321,1.33291,1.33395,1.33358,1.33363,1.33338,54
2019-03-18 21:00:00,1.33291,1.33333,1.33646,1.33007,1.33358,1.33357,1.33667,1.33029,165171
2019-03-19 21:00:00,1.33333,1.33173,1.33436,1.32497,1.33357,1.33237,1.33456,1.32517,207038
