date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2019-01-02 22:00:00,1279.89,1284.35,1288.65,1278.58,1280.27,1284.74,1289.0,1278.97,276431
2019-01-03 22:00:00,1284.35,1294.03,1294.81,1276.64,1284.74,1294.48,1295.15,1284.84,409061
2019-01-04 22:00:00,1294.03,1284.74,1298.42,1276.51,1294.48,1285.12,1298.79,1276.9,421718
2019-01-07 22:00:00,1284.74,1288.8,1294.95,1282.57,1285.12,1289.95,1295.33,1282.88,293508
2019-01-08 22:00:00,1288.8,1284.94,1290.12,1279.29,1289.95,1285.64,1290.47,1279.6,284386
2019-01-09 22:00:00,1284.94,1293.1,1293.75,1279.97,1285.64,1293.52,1294.09,1280.33,313645
2019-01-10 22:00:00,1293.1,1286.35,1296.96,1286.03,1293.52,1286.77,1297.31,1286.38,304207
2019-01-11 22:00:00,1286.35,1287.57,1295.06,1285.5,1286.77,1287.95,1295.42,1286.86,282135
2019-01-14 22:00:00,1287.57,1290.89,1295.79,1287.09,1287.95,1291.86,1296.1,1287.87,266110
2019-01-15 22:00:00,1290.89,1288.84,1294.55,1286.61,1291.86,1290.16,1294.92,1286.92,325009
2019-01-16 22:00:00,1288.84,1293.04,1294.88,1287.78,1290.16,1293.94,1295.24,1288.13,256752
2019-01-17 22:00:00,1293.04,1291.82,1295.3,1288.62,1293.94,1292.23,1295.59,1288.98,274171
2019-01-18 22:00:00,1291.82,1281.16,1292.4,1280.53,1292.23,1281.56,1293.15,1280.87,254113
2019-01-21 22:00:00,1281.16,1280.03,1283.44,1276.63,1281.56,1280.43,1283.81,1276.99,118843
2019-01-22 22:00:00,1280.03,1284.89,1285.38,1277.34,1280.43,1285.31,1285.78,1277.7,209992
2019-01-23 22:00:00,1284.89,1282.54,1286.43,1278.56,1285.31,1282.92,1286.76,1278.93,216571
2019-01-24 22:00:00,1282.54,1280.95,1284.7,1276.67,1282.92,1281.34,1285.06,1277.01,273749
2019-01-25 22:00:00,1280.95,1302.9,1303.74,1279.84,1281.34,1303.31,1304.92,1280.2,258740
2019-01-28 22:00:00,1302.9,1302.47,1304.33,1297.45,1303.31,1304.11,1304.68,1297.84,214078
2019-01-29 22:00:00,1302.47,1311.24,1311.86,1302.62,1304.11,1312.1,1312.26,1302.96,236130
2019-01-30 22:00:00,1311.24,1319.52,1323.27,1308.92,1312.1,1319.9,1323.64,1309.26,279909
2019-01-31 22:00:00,1319.52,1321.23,1326.15,1317.35,1319.9,1321.61,1326.47,1317.7,268109
2019-02-01 22:00:00,1321.23,1317.76,1323.47,1316.01,1321.61,1318.15,1323.81,1316.39,260154
2019-02-04 22:00:00,1317.76,1311.97,1318.89,1308.54,1318.15,1312.35,1319.42,1308.87,202356
2019-02-05 22:00:00,1311.97,1315.11,1316.77,1310.63,1312.35,1315.49,1317.14,1311.0,192190
2019-02-06 22:00:00,1315.11,1306.37,1315.71,1305.61,1315.49,1306.75,1316.5,1305.99,190499
2019-02-07 22:00:00,1306.37,1309.21,1311.85,1302.7,1306.75,1310.66,1312.19,1303.03,225304
2019-02-08 22:00:00,1309.21,1313.8,1315.53,1307.68,1310.66,1314.16,1315.87,1308.04,188049
2019-02-11 22:00:00,1313.8,1308.0,1314.77,1303.57,1314.16,1308.4,1315.1,1303.95,201412
2019-02-12 22:00:00,1308.0,1310.66,1314.67,1306.41,1308.4,1311.04,1315.02,1306.76,202308
2019-02-13 22:00:00,1310.66,1306.01,1318.02,1304.93,1311.04,1306.39,1318.4,1305.29,237185
